display_id,components,requests,contracts,relationships
590,"[{""id"": 20000897324, ""created_at"": ""2023-08-30T20:40:10Z"", ""updated_at"": ""2024-09-16T13:19:39Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""95""}]}, {""id"": 20000897325, ""created_at"": ""2023-08-30T20:40:10Z"", ""updated_at"": ""2024-05-09T20:13:40Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.382""}]}, {""id"": 20000897326, ""created_at"": ""2023-08-30T20:40:10Z"", ""updated_at"": ""2024-09-04T15:12:40Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""60:A5:E2:62:E7:7E"", ""ip_addr"": ""192.168.212.104"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000897327, ""created_at"": ""2023-08-30T20:40:10Z"", ""updated_at"": ""2024-05-09T20:13:40Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
591,[],[],[],[]
592,[],[],[],[]
593,[],[],[],[]
594,[],[],[],[]
595,[],[],[],[]
596,[],[],[],[]
597,[],[],[],[]
598,[],[],[],[]
599,[],[],[],[]
600,[],[],[],[]
601,[],[],[],[]
602,[],[],[],[]
603,"[{""id"": 20000926161, ""created_at"": ""2023-10-16T16:57:16Z"", ""updated_at"": ""2024-09-17T23:15:25Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""103""}]}, {""id"": 20000926162, ""created_at"": ""2023-10-16T16:57:16Z"", ""updated_at"": ""2024-05-05T02:46:15Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.382""}]}, {""id"": 20000926163, ""created_at"": ""2023-10-16T16:57:17Z"", ""updated_at"": ""2024-09-17T23:15:25Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""D4:54:8B:AC:4C:BB"", ""ip_addr"": ""10.212.20.57"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000926164, ""created_at"": ""2023-10-16T16:57:17Z"", ""updated_at"": ""2024-05-05T02:46:15Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
604,[],[],[],[]
605,[],[],[],[]
606,[],[],[],[]
607,[],[],[],[]
608,[],[],[],[]
609,[],[],[],[]
610,[],[],[],[]
611,[],[],[],[]
612,[],[],[],[]
613,[],[],[],[]
614,[],[],[],[]
615,[],[],[],[]
616,[],[],[],[]
617,[],[],[],[]
618,[],[],[],[]
619,[],[],[],[]
620,[],[],[],[]
621,[],[],[],[]
622,[],[],[],[]
623,[],[],[],[]
624,[],[],[],[]
625,[],[],[],[]
626,[],[],[],[]
627,[],[],[],[]
628,[],[],[],[]
629,[],[],[],[]
630,[],[],[],[]
631,[],[],[],[]
632,[],[],[],[]
633,[],[],[],[]
634,[],"[{""id"": 20000384342, ""created_at"": ""2024-05-13T13:46:15Z"", ""updated_at"": ""2024-05-13T13:46:15Z"", ""request_type"": ""Ticket"", ""request_id"": ""INC-4603"", ""request_details"": ""Stolen Laptop - Edmund Peellee"", ""request_status"": ""Closed"", ""workspace_id"": 2}]",[],[]
635,[],[],[],[]
636,[],[],[],[]
637,[],[],[],[]
638,[],[],[],[]
639,"[{""id"": 20000888376, ""created_at"": ""2023-08-23T17:56:27Z"", ""updated_at"": ""2024-01-26T17:02:10Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""160""}]}, {""id"": 20000888377, ""created_at"": ""2023-08-23T17:56:27Z"", ""updated_at"": ""2023-08-23T17:56:27Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.382""}]}, {""id"": 20000888378, ""created_at"": ""2023-08-23T17:56:27Z"", ""updated_at"": ""2024-01-26T17:01:26Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""D4:54:8B:ED:8B:54"", ""ip_addr"": ""10.212.20.52"", ""dhcp_enabled"": ""True""}, {""nic"": "" Realtek PCIe GbE Family Controller"", ""mac_address"": ""B4:45:06:39:66:6C"", ""ip_addr"": ""169.254.123.243"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000888379, ""created_at"": ""2023-08-23T17:56:27Z"", ""updated_at"": ""2023-08-23T17:56:27Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
640,[],[],[],[]
641,[],[],[],[]
642,[],[],[],[]
643,[],[],[],[]
644,"[{""id"": 20000887249, ""created_at"": ""2023-08-22T18:44:09Z"", ""updated_at"": ""2024-04-16T21:54:24Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""476"", ""drive_type"": ""Local"", ""free_space"": ""253""}]}, {""id"": 20000887250, ""created_at"": ""2023-08-22T18:44:10Z"", ""updated_at"": ""2023-08-22T18:44:10Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""6"", ""cpu_speed"": ""2.592""}]}, {""id"": 20000887251, ""created_at"": ""2023-08-22T18:44:10Z"", ""updated_at"": ""2024-04-05T21:33:19Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Realtek USB GbE Family Controller"", ""mac_address"": ""CC:48:3A:A6:39:38"", ""ip_addr"": ""10.212.20.68"", ""dhcp_enabled"": ""True""}, {""nic"": "" VirtualBox Host-Only Ethernet Adapter"", ""mac_address"": ""0A:00:27:00:00:0C"", ""ip_addr"": ""192.168.56.1"", ""dhcp_enabled"": ""False""}, {""nic"": "" VMware Virtual Ethernet Adapter for VMnet1"", ""mac_address"": ""00:50:56:C0:00:01"", ""ip_addr"": ""192.168.26.1"", ""dhcp_enabled"": ""True""}, {""nic"": "" VMware Virtual Ethernet Adapter for VMnet8"", ""mac_address"": ""00:50:56:C0:00:08"", ""ip_addr"": ""192.168.181.1"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000887252, ""created_at"": ""2023-08-22T18:44:10Z"", ""updated_at"": ""2023-08-22T18:44:10Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM A"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM B"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
645,[],[],[],[]
646,[],[],[],[]
647,[],[],[],[]
649,[],[],[],[]
650,[],[],[],[]
651,"[{""id"": 20000887311, ""created_at"": ""2023-08-22T19:23:58Z"", ""updated_at"": ""2024-09-18T13:48:41Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""142""}]}, {""id"": 20000887312, ""created_at"": ""2023-08-22T19:23:58Z"", ""updated_at"": ""2024-05-03T17:20:06Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.498""}]}, {""id"": 20000887313, ""created_at"": ""2023-08-22T19:23:58Z"", ""updated_at"": ""2024-06-25T17:35:50Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""70:A6:CC:86:7C:34"", ""ip_addr"": ""192.168.212.153"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000887314, ""created_at"": ""2023-08-22T19:23:58Z"", ""updated_at"": ""2024-05-03T17:20:06Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""16"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""16"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
652,[],[],[],[]
653,"[{""id"": 20000888508, ""created_at"": ""2023-08-23T20:31:38Z"", ""updated_at"": ""2024-07-22T12:19:28Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""154""}]}, {""id"": 20000888509, ""created_at"": ""2023-08-23T20:31:38Z"", ""updated_at"": ""2024-05-03T13:02:20Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.382""}]}, {""id"": 20000888510, ""created_at"": ""2023-08-23T20:31:38Z"", ""updated_at"": ""2024-06-17T13:20:16Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""20:C1:9B:05:03:34"", ""ip_addr"": ""10.0.0.154"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000888511, ""created_at"": ""2023-08-23T20:31:38Z"", ""updated_at"": ""2024-05-03T13:02:20Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
654,"[{""id"": 20000897798, ""created_at"": ""2023-08-31T15:10:36Z"", ""updated_at"": ""2024-09-20T14:15:39Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""2""}]}, {""id"": 20000897799, ""created_at"": ""2023-08-31T15:10:36Z"", ""updated_at"": ""2024-05-06T13:27:00Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.498""}]}, {""id"": 20000897800, ""created_at"": ""2023-08-31T15:10:36Z"", ""updated_at"": ""2024-09-20T14:15:39Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""70:A6:CC:8C:05:05"", ""ip_addr"": ""192.168.1.159"", ""dhcp_enabled"": ""True""}, {""nic"": "" Wintun Userspace Tunnel"", ""mac_address"": """", ""ip_addr"": ""172.16.0.2"", ""dhcp_enabled"": ""False""}]}, {""id"": 20000897801, ""created_at"": ""2023-08-31T15:10:36Z"", ""updated_at"": ""2024-05-06T13:27:01Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""16"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""16"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
655,"[{""id"": 20000901425, ""created_at"": ""2023-09-07T13:51:30Z"", ""updated_at"": ""2024-07-03T13:10:26Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""113""}, {""drive_name"": ""G"", ""file_type"": """", ""capacity"": ""0"", ""drive_type"": ""Local"", ""free_space"": ""0""}]}, {""id"": 20000901426, ""created_at"": ""2023-09-07T13:51:30Z"", ""updated_at"": ""2024-05-03T12:20:04Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.382""}]}, {""id"": 20000901427, ""created_at"": ""2023-09-07T13:51:30Z"", ""updated_at"": ""2024-07-03T13:10:26Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""60:A5:E2:62:E7:1A"", ""ip_addr"": ""10.212.20.61"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000901428, ""created_at"": ""2023-09-07T13:51:30Z"", ""updated_at"": ""2024-05-03T12:20:04Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
656,"[{""id"": 20000903279, ""created_at"": ""2023-09-11T20:31:07Z"", ""updated_at"": ""2024-09-17T13:19:54Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""140""}]}, {""id"": 20000903280, ""created_at"": ""2023-09-11T20:31:07Z"", ""updated_at"": ""2024-05-06T13:05:21Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.382""}]}, {""id"": 20000903281, ""created_at"": ""2023-09-11T20:31:07Z"", ""updated_at"": ""2024-09-18T18:00:49Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""D4:54:8B:AD:AF:11"", ""ip_addr"": ""10.212.20.38"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000903282, ""created_at"": ""2023-09-11T20:31:07Z"", ""updated_at"": ""2024-05-06T13:05:22Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
657,[],[],[],[]
658,"[{""id"": 20000926165, ""created_at"": ""2023-10-16T16:57:52Z"", ""updated_at"": ""2024-08-16T12:48:58Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""94""}, {""drive_name"": ""G"", ""file_type"": """", ""capacity"": ""0"", ""drive_type"": ""Local"", ""free_space"": ""0""}]}, {""id"": 20000926166, ""created_at"": ""2023-10-16T16:57:52Z"", ""updated_at"": ""2024-05-03T13:04:12Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.382""}]}, {""id"": 20000926167, ""created_at"": ""2023-10-16T16:57:52Z"", ""updated_at"": ""2024-08-13T18:38:30Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Realtek PCIe GbE Family Controller"", ""mac_address"": ""B4:45:06:3A:8D:98"", ""ip_addr"": ""10.212.9.61"", ""dhcp_enabled"": ""True""}]}, {""id"": 20000926168, ""created_at"": ""2023-10-16T16:57:52Z"", ""updated_at"": ""2024-05-03T13:04:12Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""8"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
659,[],[],[],[]
660,[],[],[],[]
661,[],[],[],[]
662,[],[],[],[]
663,[],[],[],[]
664,"[{""id"": 20001095824, ""created_at"": ""2024-04-02T19:31:19Z"", ""updated_at"": ""2024-09-20T12:15:47Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""C"", ""file_type"": ""NTFS"", ""capacity"": ""235"", ""drive_type"": ""Local"", ""free_space"": ""88""}]}, {""id"": 20001095825, ""created_at"": ""2024-04-02T19:31:19Z"", ""updated_at"": ""2024-05-04T04:25:01Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz"", ""manufacturer"": ""GenuineIntel"", ""no_of_cores"": ""4"", ""cpu_speed"": ""1.498""}]}, {""id"": 20001095826, ""created_at"": ""2024-04-02T19:31:20Z"", ""updated_at"": ""2024-07-07T20:40:39Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": "" Intel(R) Wi-Fi 6 AX201 160MHz"", ""mac_address"": ""70:A6:CC:8B:74:23"", ""ip_addr"": ""192.168.1.164"", ""dhcp_enabled"": ""True""}]}, {""id"": 20001095827, ""created_at"": ""2024-04-02T19:31:20Z"", ""updated_at"": ""2024-05-04T04:25:01Z"", ""component_type"": ""Memory"", ""component_data"": [{""speed"": ""3200 Mhz"", ""capacity"": ""16"", ""socket"": ""DIMM 1"", ""memory_type"": ""RDRAM""}, {""speed"": ""3200 Mhz"", ""capacity"": ""16"", ""socket"": ""DIMM 2"", ""memory_type"": ""RDRAM""}]}]",[],[],[]
665,[],[],[],[]
666,[],[],[],[]
667,[],[],[],[]
668,[],[],[],[]
